"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","33nF","my_footprints:MKP10_630V",""
"2","C2","1","10µ, 50V","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"3","C3","1","100µ","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"4","C4, C5","2","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm",""
"5","C6","1","10µ","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"6","D2, D3","2","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"7","J2","1","Barrel_Jack_Switch_Pin3Ring","my_footprints:GRAVITECH_CON-SOCJ-2155",""
"8","L1","1","330µH","my_footprints:L_vertical12",""
"9","M1","1","Motor_DC","my_footprints:motor_tray",""
"10","Q1, Q2","2","NPN","my_footprints:TO220_vertikal",""
"11","R2","1","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R3","1","120","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R4","1","47","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","RV1","1","470","my_footprints:Poti_10mm",""
"15","SW1","1","SW_DPDT_x2","my_footprints:Switch1",""
"16","U1, U2, U3, U4, U5, U6","6","Pin-Connector","my_footprints:Pin_2mm",""
"17","U7","1","AP1117-ADJ","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
