Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.26146,-53.636332,355.0,top
C2,-52.97,-10.06,180.0,top
C3,-31.53,42.23,135.0,top
C4,27.8,47.64,0.0,top
C5,-51.14,9.35,180.0,top
C6,-11.82,51.4,90.0,top
D2,-49.95,17.34,65.0,top
D3,26.8,44.31,0.0,top
J2,-57.1975,0.0,0.0,top
L1,-49.523097,-19.659771,290.0,top
M1,0.0,0.0,270.0,top
Q1,-20.811905,-48.774954,65.0,top
Q2,-31.190646,-43.053116,55.0,top
R2,-37.66,-33.12,125.0,top
R3,-18.38,53.07,205.0,top
R4,-25.96,45.25,25.0,top
RV1,0.0,51.325,180.0,top
SW1,20.828,56.515,340.0,top
U1,-34.01,-36.57,0.0,top
U2,-31.0,-36.33,0.0,top
U3,-2.0,-26.0,0.0,top
U4,-2.0,-48.0,0.0,top
U5,2.0,-26.0,0.0,top
U6,2.0,-48.0,0.0,top
U7,-38.94,37.96,315.0,top
