Designator,Footprint,Quantity,Value,LCSC Part #
A1,MODULE_SC0918,1,SC0918,
C1,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,C307331
"C10, C11, C12, C13, C14, C8, C9",CP_Radial_D4.0mm_P2.00mm,7,10µ,
C2,CP_Radial_D6.3mm_P2.50mm,1,220µF,
C3,CP_Radial_D6.3mm_P2.50mm,1,100µF,
C4,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D6, D7, D8, D9",LED_rect_2x3,56,LED,
J1,microSD_SMD,1,Micro_SD_Card,C5155564
L1,coil_large,1,Coil,
"Q1, Q11, Q13, Q3, Q5, Q7, Q9",SOT-23,7,IRLML6401,
"Q10, Q12, Q14, Q2, Q4, Q6, Q8",BS250P,7,BS250,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,C25744
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2.2k,
"RN1, RN2",RN4,2,47,
RN3,R_Array_SIP9,1,47k,
"SD1, SD2, SD3, SD4",D_5W_P10.16mm_Horizontal,4,1N5818,
U1,DIP-16_W7.62mm,1,74HCT138,
U2,A3144_front,1,A3144,
U3,7pin,1,~,
U4,SOT-223-3_TabPin2,1,LM1117-5.0,
U5,ULN2803A,1,ULN2803A,
