Designator,Mid X,Mid Y,Rotation,Layer
A1,0.0,-41.67,90.0,top
C1,6.72,25.0,270.0,top
C10,-39.0,7.5,270.0,top
C11,-55.5,7.5,270.0,top
C12,22.5,-7.5,90.0,top
C13,39.0,-7.5,90.0,top
C14,55.5,-7.5,90.0,top
C2,12.5,-22.0,180.0,top
C3,-12.5,-22.0,0.0,top
C4,-2.5,-14.62,0.0,top
C8,-11.2,23.5,270.0,top
C9,-22.5,7.5,270.0,top
D1,-0.525,0.0,180.0,top
D10,-19.425,0.0,180.0,top
D11,-21.525,0.0,180.0,top
D12,-23.625,0.0,180.0,top
D13,-25.725,0.0,180.0,top
D14,-27.825,0.0,180.0,top
D15,-29.925,0.0,180.0,top
D16,-32.025,0.0,180.0,top
D17,-34.125,0.0,180.0,top
D18,-36.225,0.0,180.0,top
D19,-38.325,0.0,180.0,top
D2,-2.625,0.0,180.0,top
D20,-40.425,0.0,180.0,top
D21,-42.525,0.0,180.0,top
D22,-44.625,0.0,180.0,top
D23,-46.725,0.0,180.0,top
D24,-48.825,0.0,180.0,top
D25,-50.925,0.0,180.0,top
D26,-53.025,0.0,180.0,top
D27,-55.125,0.0,180.0,top
D28,-57.225,0.0,180.0,top
D29,1.575,0.0,0.0,top
D3,-4.725,0.0,180.0,top
D30,3.675,0.0,0.0,top
D31,5.775,0.0,0.0,top
D32,7.875,0.0,0.0,top
D33,9.975,0.0,0.0,top
D34,12.075,0.0,0.0,top
D35,14.175,0.0,0.0,top
D36,16.275,0.0,0.0,top
D37,18.375,0.0,0.0,top
D38,20.475,0.0,0.0,top
D39,22.575,0.0,0.0,top
D4,-6.825,0.0,180.0,top
D40,24.675,0.0,0.0,top
D41,26.775,0.0,0.0,top
D42,28.875,0.0,0.0,top
D43,30.975,0.0,0.0,top
D44,33.075,0.0,0.0,top
D45,35.175,0.0,0.0,top
D46,37.275,0.0,0.0,top
D47,39.375,0.0,0.0,top
D48,41.475,0.0,0.0,top
D49,43.575,0.0,0.0,top
D5,-8.925,0.0,180.0,top
D50,45.675,0.0,0.0,top
D51,47.775,0.0,0.0,top
D52,49.875,0.0,0.0,top
D53,51.975,0.0,0.0,top
D54,54.075,0.0,0.0,top
D55,56.175,0.0,0.0,top
D56,58.275,0.0,0.0,top
D6,-11.025,0.0,180.0,top
D7,-13.125,0.0,180.0,top
D8,-15.225,0.0,180.0,top
D9,-17.325,0.0,180.0,top
J1,6.423,41.764,180.0,top
L1,0.0,0.0,0.0,top
Q1,-6.0575,22.55,180.0,top
Q10,16.5,-7.77,90.0,top
Q11,27.5,-6.5,180.0,top
Q12,33.0,-7.77,90.0,top
Q13,44.0,-6.5,180.0,top
Q14,49.5,-7.77,90.0,top
Q2,0.0,21.23,90.0,top
Q3,-11.0,6.5,0.0,top
Q4,-16.5,7.77,270.0,top
Q5,-27.5,6.5,0.0,top
Q6,-33.0,7.77,270.0,top
Q7,-44.0,6.5,0.0,top
Q8,-49.5,7.77,270.0,top
Q9,11.0,-6.5,180.0,top
R1,16.5,30.0,90.0,top
R2,-16.5,30.0,90.0,top
RN1,-25.6,25.0,0.0,top
RN2,0.0,15.44,0.0,top
RN3,14.19,25.0,0.0,top
SD1,-27.84,-22.5,180.0,top
SD2,27.84,-22.5,0.0,top
SD3,-38.0,-16.7,0.0,top
SD4,38.0,-16.7,180.0,top
U1,21.78,12.99,90.0,top
U2,-37.48,37.48,45.0,top
U3,-0.65,29.0,90.0,top
U4,0.0,-22.03,90.0,top
U5,-27.0,16.8,90.0,top
